Page,Edits,Editors,Views,Mobile %
"Christopher Nolan",?,?,5034565,65.15
"List of mobile phone brands by country",?,?,5034296,89.99
"Donald J. Harris",?,?,5028297,81
"Pete Davidson",?,?,5025416,77.82
"Elliot Page",?,?,5021722,75.56
"List of countries by GDP (nominal)",?,?,5020532,57.08
"Mark Zuckerberg",?,?,5017330,70.82
"Suicide methods",?,?,5016997,82.05
"Family of Donald Trump",?,?,5014617,78.35
"Megan Thee Stallion",?,?,5011327,80.27
"Jim Carrey",?,?,5006967,75.22
"Al Capone",?,?,5006040,77.09
"HTTP 404",?,?,5003727,30.95
"Al Pacino",?,?,5001171,76.8
"Outlook.com",?,?,5000596,70.08
"Millennials",?,?,4999317,66.44
"Fascism",?,?,4997118,70.93
"2004 United States presidential election",?,?,4991584,51.78
"The Irishman",?,?,4978167,69.25
"Doordarshan",?,?,4974051,95.24
"Israel",?,?,4969566,63.87
"Taika Waititi",?,?,4965900,70.27
"Little Women (2019 film)",?,?,4950966,61.87
"UEFA Champions League",?,?,4947478,62.98
"Edward Snowden",?,?,4945843,69.39
"Chris Cuomo",?,?,4944536,74.17
"Soviet Union",?,?,4942899,62.33
"Ottoman Empire",?,?,4938161,66.33
"European Union",?,?,4930090,58.98
"Robert De Niro",?,?,4924405,74.77
"Sarah Paulson",?,?,4917671,81.38
"Caroline Flack",?,?,4915248,81.18
"O. J. Simpson",?,?,4909797,78.84
"World Health Organization",?,?,4906573,68.88
"The Undoing (miniseries)",?,?,4905422,74.69
"Joe Rogan",?,?,4892971,66.58
"Britney Spears",?,?,4886155,74.05
"Prince (musician)",?,?,4886123,71.9
"New Zealand",?,?,4878066,60.38
"Greek alphabet",?,?,4865533,41.37
"Cameron Diaz",?,?,4863322,80.17
"Halsey (singer)",?,?,4858727,73.89
"Emma Roberts",?,?,4855465,80.98
"John Krasinski",?,?,4851939,74.97
"Dennis Nilsen",?,?,4846599,86.21
"Megan Fox",?,?,4843386,77.87
"Apple Inc.",?,?,4842669,50.96
"Liverpool F.C.",?,?,4836162,63.52
"Rachel McAdams",?,?,4831743,79.03
"Stranger Things",?,?,4830008,64.84
"Breaking Bad",?,?,4828832,66.84
"The Weeknd",?,?,4824240,69.81
"Ben Affleck",?,?,4812037,76.59
"Betty White",?,?,4809009,81.57
"California",?,?,4801091,56.77
"Cameron Boyce",?,?,4798736,84.14
"Harry Potter",?,?,4795930,64.12
"Better Call Saul",?,?,4794288,59.83
"Quentin Tarantino",?,?,4788059,68.32
"Jimmy Hoffa",?,?,4787390,80.73
"Luka Magnotta",?,?,4786856,82.49
"Lily Collins",?,?,4770638,78.55
"Nikola Tesla",?,?,4767103,69.84
"Pakistan",?,?,4762159,70.27
"Among Us",?,?,4761238,57.12
"Catherine O'Hara",?,?,4757942,81.26
"France",?,?,4755130,53.59
"Italy",?,?,4753384,59.69
"The Undertaker",?,?,4748741,78.4
"The Beatles",?,?,4739646,60.04
"Phil Jackson",?,?,4733240,79.59
"Iran",?,?,4731981,63.96
"Mila Kunis",?,?,4728799,80.3
"Jason Bateman",?,?,4728253,80.54
"Thomas Jefferson",?,?,4714935,67.23
"Selena Gomez",?,?,4701014,75.82
"Tanhaji",?,?,4699007,81.45
"Joaquín ""El Chapo"" Guzmán",?,?,4698790,82.55
"Natalie Portman",?,?,4694044,75.13
"Westworld (TV series)",?,?,4690735,58.01
"List of UFC events",?,?,4689274,57.18
"Gigi Hadid",?,?,4686208,82.88
"Brooklyn Nine-Nine",?,?,4685583,60.53
"Charlie Sheen",?,?,4684338,79.37
"Helena Bonham Carter",?,?,4681239,78.8
"You (TV series)",?,?,4680876,66.96
"The Walking Dead (TV series)",?,?,4678866,60.28
"No Time to Die",?,?,4673252,60.26
"List of Knowing Bros episodes",?,?,4672864,57.07
"Gordon Ramsay",?,?,4671254,75.54
"Generation Z",?,?,4669658,63.62
"Snoop Dogg",?,?,4664776,78.8
"Roman Polanski",?,?,4659671,76.93
"American Horror Story",?,?,4652823,73.51
"William Shakespeare",?,?,4642201,62.88
"Dakota Johnson",?,?,4639016,79.32
"Ten Commandments",?,?,4632622,69.39
"John Cena",?,?,4631265,78.6
"Marie Curie",?,?,4623423,73.05
"Mariah Carey",?,?,4622078,75.3
"Lily James",?,?,4621534,77.53
"Nick Jonas",?,?,4618486,82.44
"Red states and blue states",?,?,4612106,72.03
"Avatar: The Last Airbender",?,?,4612106,63.1
"2020 NFL Draft",?,?,4609974,64.03
"OnlyFans",?,?,4604647,75.91
"David Koresh",?,?,4604594,86.22
"List of most-followed Instagram accounts",?,?,4580887,86
"Google Translate",?,?,4545593,26.32
